observable,domain,geometry,numeric,value,target,residual_pct,status,owner_geometry,primary_source
CM_log_R_K_von_Klitzing,CM,bsfg,discrete,,4.411835234234881,,GAP,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,dpm,symbolic,4.426333333333333,4.411835234234881,0.328618,OK,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,dpm,numerical,4.426333333333333,4.411835234234881,0.328618,OK,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,dpm,discrete,4.426333333333333,4.411835234234881,0.328618,OK,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,d26,symbolic,,4.411835234234881,,GAP,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,d26,numerical,,4.411835234234881,,GAP,dpm,PAPER_1167
CM_log_R_K_von_Klitzing,CM,d26,discrete,,4.411835234234881,,GAP,dpm,PAPER_1167
Clifford_qualia_states,SM,qcalcgeom,symbolic,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,qcalcgeom,numerical,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,qcalcgeom,discrete,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,bsfg,symbolic,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,bsfg,numerical,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,bsfg,discrete,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,dpm,symbolic,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,dpm,numerical,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,dpm,discrete,,8192,,GAP,d26,PAPER_1666
Clifford_qualia_states,SM,d26,symbolic,8192,8192,0.000000,EXACT,d26,PAPER_1666
Clifford_qualia_states,SM,d26,numerical,8192,8192,0.000000,EXACT,d26,PAPER_1666
Clifford_qualia_states,SM,d26,discrete,8192,8192,0.000000,EXACT,d26,PAPER_1666
GR_BH_shadow_r_M,GR,qcalcgeom,symbolic,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,qcalcgeom,numerical,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,qcalcgeom,discrete,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,bsfg,symbolic,5.198999999999999,5.1962,0.053886,OK,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,bsfg,numerical,5.198999999999999,5.1962,0.053886,OK,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,bsfg,discrete,5.198999999999999,5.1962,0.053886,OK,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,dpm,symbolic,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,dpm,numerical,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,dpm,discrete,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,d26,symbolic,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,d26,numerical,,5.1962,,GAP,bsfg,PAPER_1149
GR_BH_shadow_r_M,GR,d26,discrete,,5.1962,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,qcalcgeom,symbolic,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,qcalcgeom,numerical,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,qcalcgeom,discrete,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,bsfg,symbolic,0.039166666666666676,0.0392,0.085034,OK,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,bsfg,numerical,0.039166666666666676,0.0392,0.085034,OK,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,bsfg,discrete,0.039166666666666676,0.0392,0.085034,OK,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,dpm,symbolic,,0.0392,,GAP,bsfg,PAPER_1149
