"Term","Class","Method","File"
"UQFFBuoyancyModule::computeFBi","UQFFBuoyancyModule","computeFBi","Source158.cpp"
"UQFFBuoyancyModule::computeCompressed","UQFFBuoyancyModule","computeCompressed","Source158.cpp"
"UQFFBuoyancyModule::computeResonant","UQFFBuoyancyModule","computeResonant","Source158.cpp"
"UQFFBuoyancyModule::computeBuoyancy","UQFFBuoyancyModule","computeBuoyancy","Source158.cpp"
"UQFFBuoyancyModule::computeSuperconductive","UQFFBuoyancyModule","computeSuperconductive","Source158.cpp"
"UQFFBuoyancyModule::computeCompressedG","UQFFBuoyancyModule","computeCompressedG","Source158.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","Source158.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","Source158.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source158.cpp"
"UQFFBuoyancyModule::computeIntegrand","UQFFBuoyancyModule","computeIntegrand","Source158.cpp"
"UQFFBuoyancyModule::computeDPM_resonance","UQFFBuoyancyModule","computeDPM_resonance","Source158.cpp"
"UQFFBuoyancyModule::computeX2","UQFFBuoyancyModule","computeX2","Source158.cpp"
"UQFFBuoyancyModule::computeQuadraticRoot","UQFFBuoyancyModule","computeQuadraticRoot","Source158.cpp"
"UQFFBuoyancyModule::computeLENRTerm","UQFFBuoyancyModule","computeLENRTerm","Source158.cpp"
"UQFFBuoyancyModule::computeG","UQFFBuoyancyModule","computeG","Source158.cpp"
"UQFFBuoyancyModule::computeQ_wave","UQFFBuoyancyModule","computeQ_wave","Source158.cpp"
"UQFFBuoyancyModule::computeUb1","UQFFBuoyancyModule","computeUb1","Source158.cpp"
"UQFFBuoyancyModule::computeUi","UQFFBuoyancyModule","computeUi","Source158.cpp"
"UQFFBuoyancyModule::computeFBi","UQFFBuoyancyModule","computeFBi","Source158.cpp"
"UQFFBuoyancyModule::computeCompressed","UQFFBuoyancyModule","computeCompressed","Source158.cpp"
"UQFFBuoyancyModule::computeResonant","UQFFBuoyancyModule","computeResonant","Source158.cpp"
"UQFFBuoyancyModule::computeBuoyancy","UQFFBuoyancyModule","computeBuoyancy","Source158.cpp"
"UQFFBuoyancyModule::computeSuperconductive","UQFFBuoyancyModule","computeSuperconductive","Source158.cpp"
"UQFFBuoyancyModule::computeCompressedG","UQFFBuoyancyModule","computeCompressedG","Source158.cpp"
"UQFFBuoyancyModule::computeIntegrand","UQFFBuoyancyModule","computeIntegrand","Source158.cpp"
"UQFFBuoyancyModule::computeDPM_resonance","UQFFBuoyancyModule","computeDPM_resonance","Source158.cpp"
"UQFFBuoyancyModule::computeX2","UQFFBuoyancyModule","computeX2","Source158.cpp"
"UQFFBuoyancyModule::computeQuadraticRoot","UQFFBuoyancyModule","computeQuadraticRoot","Source158.cpp"
"UQFFBuoyancyModule::computeLENRTerm","UQFFBuoyancyModule","computeLENRTerm","Source158.cpp"
"UQFFBuoyancyModule::computeG","UQFFBuoyancyModule","computeG","Source158.cpp"
"UQFFBuoyancyModule::computeQ_wave","UQFFBuoyancyModule","computeQ_wave","Source158.cpp"
"UQFFBuoyancyModule::computeUb1","UQFFBuoyancyModule","computeUb1","Source158.cpp"
"UQFFBuoyancyModule::computeUi","UQFFBuoyancyModule","computeUi","Source158.cpp"
"UQFFBuoyancyModule::computeFBi","UQFFBuoyancyModule","computeFBi","Source158.cpp"
"UQFFBuoyancyModule::computeCompressed","UQFFBuoyancyModule","computeCompressed","Source158.cpp"
"UQFFBuoyancyModule::computeResonant","UQFFBuoyancyModule","computeResonant","Source158.cpp"
"UQFFBuoyancyModule::computeBuoyancy","UQFFBuoyancyModule","computeBuoyancy","Source158.cpp"
"UQFFBuoyancyModule::computeSuperconductive","UQFFBuoyancyModule","computeSuperconductive","Source158.cpp"
"UQFFBuoyancyModule::computeCompressedG","UQFFBuoyancyModule","computeCompressedG","Source158.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","Source158.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","Source158.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source158.cpp"
"UQFFBuoyancyModule::computeIntegrand","UQFFBuoyancyModule","computeIntegrand","Source159.cpp"
"UQFFBuoyancyModule::computeDPM_resonance","UQFFBuoyancyModule","computeDPM_resonance","Source159.cpp"
"UQFFBuoyancyModule::computeX2","UQFFBuoyancyModule","computeX2","Source159.cpp"
"UQFFBuoyancyModule::computeQuadraticRoot","UQFFBuoyancyModule","computeQuadraticRoot","Source159.cpp"
"UQFFBuoyancyModule::computeLENRTerm","UQFFBuoyancyModule","computeLENRTerm","Source159.cpp"
"UQFFBuoyancyModule::computeG","UQFFBuoyancyModule","computeG","Source159.cpp"
"UQFFBuoyancyModule::computeQ_wave","UQFFBuoyancyModule","computeQ_wave","Source159.cpp"
"UQFFBuoyancyModule::computeUb1","UQFFBuoyancyModule","computeUb1","Source159.cpp"
"UQFFBuoyancyModule::computeUi","UQFFBuoyancyModule","computeUi","Source159.cpp"
"UQFFBuoyancyModule::computeFBi","UQFFBuoyancyModule","computeFBi","Source159.cpp"
"UQFFBuoyancyModule::computeCompressed","UQFFBuoyancyModule","computeCompressed","Source159.cpp"
"UQFFBuoyancyModule::computeResonant","UQFFBuoyancyModule","computeResonant","Source159.cpp"
"UQFFBuoyancyModule::computeBuoyancy","UQFFBuoyancyModule","computeBuoyancy","Source159.cpp"
"UQFFBuoyancyModule::computeSuperconductive","UQFFBuoyancyModule","computeSuperconductive","Source159.cpp"
"UQFFBuoyancyModule::computeCompressedG","UQFFBuoyancyModule","computeCompressedG","Source159.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source159.cpp"
"SurfaceMagneticFieldModule::computeU_g3_example","SurfaceMagneticFieldModule","computeU_g3_example","Source159.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","Source159.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","Source159.cpp"
"SurfaceMagneticFieldModule::computeB_j","SurfaceMagneticFieldModule","computeB_j","Source159.cpp"
"SurfaceMagneticFieldModule::computeU_g3_example","SurfaceMagneticFieldModule","computeU_g3_example","Source159.cpp"
"SurfaceMagneticFieldModule::computeB_s_min","SurfaceMagneticFieldModule","computeB_s_min","Source159.cpp"
"SurfaceMagneticFieldModule::computeB_s_max","SurfaceMagneticFieldModule","computeB_s_max","Source159.cpp"
"StarbirthTapestry::compute_Ug","StarbirthTapestry","compute_Ug","source16.cpp"
"StarbirthTapestry::compute_V","StarbirthTapestry","compute_V","source16.cpp"
"StarbirthTapestry::compute_g_Starbirth","StarbirthTapestry","compute_g_Starbirth","source16.cpp"
"UQFFBuoyancyModule::computeIntegrand","UQFFBuoyancyModule","computeIntegrand","Source160.cpp"
"UQFFBuoyancyModule::computeDPM_resonance","UQFFBuoyancyModule","computeDPM_resonance","Source160.cpp"
"UQFFBuoyancyModule::computeX2","UQFFBuoyancyModule","computeX2","Source160.cpp"
"UQFFBuoyancyModule::computeQuadraticRoot","UQFFBuoyancyModule","computeQuadraticRoot","Source160.cpp"
"UQFFBuoyancyModule::computeLENRTerm","UQFFBuoyancyModule","computeLENRTerm","Source160.cpp"
"UQFFBuoyancyModule::computeG","UQFFBuoyancyModule","computeG","Source160.cpp"
"UQFFBuoyancyModule::computeQ_wave","UQFFBuoyancyModule","computeQ_wave","Source160.cpp"
"UQFFBuoyancyModule::computeUb1","UQFFBuoyancyModule","computeUb1","Source160.cpp"
"UQFFBuoyancyModule::computeUi","UQFFBuoyancyModule","computeUi","Source160.cpp"
"UQFFBuoyancyModule::computeFBi","UQFFBuoyancyModule","computeFBi","Source160.cpp"
"UQFFBuoyancyModule::computeCompressed","UQFFBuoyancyModule","computeCompressed","Source160.cpp"
"UQFFBuoyancyModule::computeResonant","UQFFBuoyancyModule","computeResonant","Source160.cpp"
"UQFFBuoyancyModule::computeBuoyancy","UQFFBuoyancyModule","computeBuoyancy","Source160.cpp"
"UQFFBuoyancyModule::computeSuperconductive","UQFFBuoyancyModule","computeSuperconductive","Source160.cpp"
"UQFFBuoyancyModule::computeCompressedG","UQFFBuoyancyModule","computeCompressedG","Source160.cpp"
"UQFFBuoyancyAstroModule::computeIntegrand","UQFFBuoyancyAstroModule","computeIntegrand","Source161.cpp"
"UQFFBuoyancyAstroModule::computeDPM_resonance","UQFFBuoyancyAstroModule","computeDPM_resonance","Source161.cpp"
"UQFFBuoyancyAstroModule::computeX2","UQFFBuoyancyAstroModule","computeX2","Source161.cpp"
"UQFFBuoyancyAstroModule::computeQuadraticRoot","UQFFBuoyancyAstroModule","computeQuadraticRoot","Source161.cpp"
"UQFFBuoyancyAstroModule::computeLENRTerm","UQFFBuoyancyAstroModule","computeLENRTerm","Source161.cpp"
"UQFFBuoyancyAstroModule::computeG","UQFFBuoyancyAstroModule","computeG","Source161.cpp"
"UQFFBuoyancyAstroModule::computeQ_wave","UQFFBuoyancyAstroModule","computeQ_wave","Source161.cpp"
"UQFFBuoyancyAstroModule::computeUb1","UQFFBuoyancyAstroModule","computeUb1","Source161.cpp"
"UQFFBuoyancyAstroModule::computeUi","UQFFBuoyancyAstroModule","computeUi","Source161.cpp"
"UQFFBuoyancyAstroModule::computeFBi","UQFFBuoyancyAstroModule","computeFBi","Source161.cpp"
"UQFFBuoyancyAstroModule::computeCompressed","UQFFBuoyancyAstroModule","computeCompressed","Source161.cpp"
"UQFFBuoyancyAstroModule::computeResonant","UQFFBuoyancyAstroModule","computeResonant","Source161.cpp"
"UQFFBuoyancyAstroModule::computeBuoyancy","UQFFBuoyancyAstroModule","computeBuoyancy","Source161.cpp"
"UQFFBuoyancyAstroModule::computeSuperconductive","UQFFBuoyancyAstroModule","computeSuperconductive","Source161.cpp"
"UQFFBuoyancyAstroModule::computeCompressedG","UQFFBuoyancyAstroModule","computeCompressedG","Source161.cpp"
"UQFFBuoyancyCNBModule::computeIntegrand","UQFFBuoyancyCNBModule","computeIntegrand","Source162.cpp"
"UQFFBuoyancyCNBModule::computeDPM_resonance","UQFFBuoyancyCNBModule","computeDPM_resonance","Source162.cpp"
"UQFFBuoyancyCNBModule::computeX2","UQFFBuoyancyCNBModule","computeX2","Source162.cpp"
"UQFFBuoyancyCNBModule::computeQuadraticRoot","UQFFBuoyancyCNBModule","computeQuadraticRoot","Source162.cpp"
"UQFFBuoyancyCNBModule::computeLENRTerm","UQFFBuoyancyCNBModule","computeLENRTerm","Source162.cpp"
"UQFFBuoyancyCNBModule::computeG","UQFFBuoyancyCNBModule","computeG","Source162.cpp"
"UQFFBuoyancyCNBModule::computeQ_wave","UQFFBuoyancyCNBModule","computeQ_wave","Source162.cpp"
"UQFFBuoyancyCNBModule::computeUb1","UQFFBuoyancyCNBModule","computeUb1","Source162.cpp"
"UQFFBuoyancyCNBModule::computeUi","UQFFBuoyancyCNBModule","computeUi","Source162.cpp"
"UQFFBuoyancyCNBModule::computeFBi","UQFFBuoyancyCNBModule","computeFBi","Source162.cpp"
"UQFFBuoyancyCNBModule::computeCompressed","UQFFBuoyancyCNBModule","computeCompressed","Source162.cpp"
"UQFFBuoyancyCNBModule::computeResonant","UQFFBuoyancyCNBModule","computeResonant","Source162.cpp"
"UQFFBuoyancyCNBModule::computeBuoyancy","UQFFBuoyancyCNBModule","computeBuoyancy","Source162.cpp"
"UQFFBuoyancyCNBModule::computeSuperconductive","UQFFBuoyancyCNBModule","computeSuperconductive","Source162.cpp"
"UQFFBuoyancyCNBModule::computeCompressedG","UQFFBuoyancyCNBModule","computeCompressedG","Source162.cpp"
"AstroSystemsUQFFModule::computeIntegrand","AstroSystemsUQFFModule","computeIntegrand","Source163.cpp"
"AstroSystemsUQFFModule::computeDPM_resonance","AstroSystemsUQFFModule","computeDPM_resonance","Source163.cpp"
"AstroSystemsUQFFModule::computeX2","AstroSystemsUQFFModule","computeX2","Source163.cpp"
"AstroSystemsUQFFModule::computeQuadraticRoot","AstroSystemsUQFFModule","computeQuadraticRoot","Source163.cpp"
"AstroSystemsUQFFModule::computeLENRTerm","AstroSystemsUQFFModule","computeLENRTerm","Source163.cpp"
"AstroSystemsUQFFModule::computeGravityCompressed","AstroSystemsUQFFModule","computeGravityCompressed","Source163.cpp"
"AstroSystemsUQFFModule::computeResonanceUr","AstroSystemsUQFFModule","computeResonanceUr","Source163.cpp"
"AstroSystemsUQFFModule::computeBuoyancyUbi","AstroSystemsUQFFModule","computeBuoyancyUbi","Source163.cpp"
"AstroSystemsUQFFModule::computeMasterEquations","AstroSystemsUQFFModule","computeMasterEquations","Source163.cpp"
"AstroSystemsUQFFModule::computeCompressed","AstroSystemsUQFFModule","computeCompressed","Source163.cpp"
"AstroSystemsUQFFModule::computeResonant","AstroSystemsUQFFModule","computeResonant","Source163.cpp"
"AstroSystemsUQFFModule::computeBuoyancy","AstroSystemsUQFFModule","computeBuoyancy","Source163.cpp"
"AstroSystemsUQFFModule::computeSuperconductive","AstroSystemsUQFFModule","computeSuperconductive","Source163.cpp"
"AstroSystemsUQFFModule::computeCompressedG","AstroSystemsUQFFModule","computeCompressedG","Source163.cpp"
"AstroSystemsUQFFModule::computeDPMEvolution","AstroSystemsUQFFModule","computeDPMEvolution","Source163.cpp"
"AstroSystemsUQFFModule::computeSMBHAccretion","AstroSystemsUQFFModule","computeSMBHAccretion","Source163.cpp"
"AstroSystemsUQFFModule::computeTDEDynamics","AstroSystemsUQFFModule","computeTDEDynamics","Source163.cpp"
"UQFFNebulaTriadicModule::computeIntegrand","UQFFNebulaTriadicModule","computeIntegrand","Source164.cpp"
"UQFFNebulaTriadicModule::computeDPM_resonance","UQFFNebulaTriadicModule","computeDPM_resonance","Source164.cpp"
"UQFFNebulaTriadicModule::computeX2","UQFFNebulaTriadicModule","computeX2","Source164.cpp"
"UQFFNebulaTriadicModule::computeQuadraticRoot","UQFFNebulaTriadicModule","computeQuadraticRoot","Source164.cpp"
"UQFFNebulaTriadicModule::computeLENRTerm","UQFFNebulaTriadicModule","computeLENRTerm","Source164.cpp"
"UQFFNebulaTriadicModule::computeGravityCompressed","UQFFNebulaTriadicModule","computeGravityCompressed","Source164.cpp"
"UQFFNebulaTriadicModule::computeResonanceUr","UQFFNebulaTriadicModule","computeResonanceUr","Source164.cpp"
"UQFFNebulaTriadicModule::computeBuoyancyUbi","UQFFNebulaTriadicModule","computeBuoyancyUbi","Source164.cpp"
"UQFFNebulaTriadicModule::computeGasNebulaIntegration","UQFFNebulaTriadicModule","computeGasNebulaIntegration","Source164.cpp"
"UQFFNebulaTriadicModule::computeMasterEquations","UQFFNebulaTriadicModule","computeMasterEquations","Source164.cpp"
"UQFFNebulaTriadicModule::computeCompressed","UQFFNebulaTriadicModule","computeCompressed","Source164.cpp"
"UQFFNebulaTriadicModule::computeResonant","UQFFNebulaTriadicModule","computeResonant","Source164.cpp"
"UQFFNebulaTriadicModule::computeBuoyancy","UQFFNebulaTriadicModule","computeBuoyancy","Source164.cpp"
"UQFFNebulaTriadicModule::computeSuperconductive","UQFFNebulaTriadicModule","computeSuperconductive","Source164.cpp"
"UQFFNebulaTriadicModule::computeCompressedG","UQFFNebulaTriadicModule","computeCompressedG","Source164.cpp"
"UQFFNebulaTriadicModule::computeDPMEvolution","UQFFNebulaTriadicModule","computeDPMEvolution","Source164.cpp"
"UQFFNebulaTriadicModule::computeNebulaExpansion","UQFFNebulaTriadicModule","computeNebulaExpansion","Source164.cpp"
"UQFFNebulaTriadicModule::computeGasIonization","UQFFNebulaTriadicModule","computeGasIonization","Source164.cpp"
"UQFFBuoyancyModule::computeIntegrand","UQFFBuoyancyModule","computeIntegrand","Source165.cpp"
"UQFFBuoyancyModule::computeDPM_resonance","UQFFBuoyancyModule","computeDPM_resonance","Source165.cpp"
"UQFFBuoyancyModule::computeX2","UQFFBuoyancyModule","computeX2","Source165.cpp"
"UQFFBuoyancyModule::computeQuadraticRoot","UQFFBuoyancyModule","computeQuadraticRoot","Source165.cpp"
"UQFFBuoyancyModule::computeLENRTerm","UQFFBuoyancyModule","computeLENRTerm","Source165.cpp"
"UQFFBuoyancyModule::computeG","UQFFBuoyancyModule","computeG","Source165.cpp"
"UQFFBuoyancyModule::computeFBi","UQFFBuoyancyModule","computeFBi","Source165.cpp"
"UQFFBuoyancyModule::computeCompressed","UQFFBuoyancyModule","computeCompressed","Source165.cpp"
"UQFFBuoyancyModule::computeResonant","UQFFBuoyancyModule","computeResonant","Source165.cpp"
"UQFFBuoyancyModule::computeBuoyancy","UQFFBuoyancyModule","computeBuoyancy","Source165.cpp"
"UQFFBuoyancyModule::computeSuperconductive","UQFFBuoyancyModule","computeSuperconductive","Source165.cpp"
"UQFFBuoyancyModule::computeCompressedG","UQFFBuoyancyModule","computeCompressedG","Source165.cpp"
"UQFF8AstroSystemsModule::computeIntegrand","UQFF8AstroSystemsModule","computeIntegrand","Source166.cpp"
"UQFF8AstroSystemsModule::computeDPM_resonance","UQFF8AstroSystemsModule","computeDPM_resonance","Source166.cpp"
"UQFF8AstroSystemsModule::computeX2","UQFF8AstroSystemsModule","computeX2","Source166.cpp"
"UQFF8AstroSystemsModule::computeQuadraticRoot","UQFF8AstroSystemsModule","computeQuadraticRoot","Source166.cpp"
"UQFF8AstroSystemsModule::computeLENRTerm","UQFF8AstroSystemsModule","computeLENRTerm","Source166.cpp"
"UQFF8AstroSystemsModule::computeG","UQFF8AstroSystemsModule","computeG","Source166.cpp"
"UQFF8AstroSystemsModule::computeGravityCompressed","UQFF8AstroSystemsModule","computeGravityCompressed","Source166.cpp"
"UQFF8AstroSystemsModule::computeResonanceUr","UQFF8AstroSystemsModule","computeResonanceUr","Source166.cpp"
"UQFF8AstroSystemsModule::computeBuoyancyUbi","UQFF8AstroSystemsModule","computeBuoyancyUbi","Source166.cpp"
"UQFF8AstroSystemsModule::computeMasterEquations","UQFF8AstroSystemsModule","computeMasterEquations","Source166.cpp"
"UQFF8AstroSystemsModule::computeCompressed","UQFF8AstroSystemsModule","computeCompressed","Source166.cpp"
"UQFF8AstroSystemsModule::computeResonant","UQFF8AstroSystemsModule","computeResonant","Source166.cpp"
"UQFF8AstroSystemsModule::computeBuoyancy","UQFF8AstroSystemsModule","computeBuoyancy","Source166.cpp"
"UQFF8AstroSystemsModule::computeSuperconductive","UQFF8AstroSystemsModule","computeSuperconductive","Source166.cpp"
"UQFF8AstroSystemsModule::computeCompressedG","UQFF8AstroSystemsModule","computeCompressedG","Source166.cpp"
"UQFF8AstroSystemsModule::computeGasNebulaIntegration","UQFF8AstroSystemsModule","computeGasNebulaIntegration","Source166.cpp"
"UQFF8AstroSystemsModule::computeDipoleVortexSpecies","UQFF8AstroSystemsModule","computeDipoleVortexSpecies","Source166.cpp"
"UQFF8AstroSystemsModule::computeQuantumState","UQFF8AstroSystemsModule","computeQuantumState","Source166.cpp"
"Westerlund2::compute_Ug","Westerlund2","compute_Ug","source17.cpp"
"Westerlund2::compute_V","Westerlund2","compute_V","source17.cpp"
"Westerlund2::compute_g_Westerlund2","Westerlund2","compute_g_Westerlund2","source17.cpp"
"UQFFNineteenAstroCore_S115::compute_E_DPM_i","UQFFNineteenAstroCore_S115","compute_E_DPM_i","source172.cpp"
"WolframFieldUnityEngine_S116::computeDynamicContribution","WolframFieldUnityEngine_S116","computeDynamicContribution","source173.cpp"
"WolframFieldUnityModule_SOURCE116::computeDynamicContribution","WolframFieldUnityModule_SOURCE116","computeDynamicContribution","source173.cpp"
"PillarsOfCreation::compute_Ug","PillarsOfCreation","compute_Ug","source18.cpp"
"PillarsOfCreation::compute_V","PillarsOfCreation","compute_V","source18.cpp"
"PillarsOfCreation::compute_g_Pillars","PillarsOfCreation","compute_g_Pillars","source18.cpp"
"RingsOfRelativity::compute_Ug","RingsOfRelativity","compute_Ug","source19.cpp"
"RingsOfRelativity::compute_V","RingsOfRelativity","compute_V","source19.cpp"
"RingsOfRelativity::compute_g_Rings","RingsOfRelativity","compute_g_Rings","source19.cpp"
"GalaxyNGC2525::compute_Ug","GalaxyNGC2525","compute_Ug","source20.cpp"
"GalaxyNGC2525::compute_V","GalaxyNGC2525","compute_V","source20.cpp"
"GalaxyNGC2525::compute_g_NGC2525","GalaxyNGC2525","compute_g_NGC2525","source20.cpp"
"NGC3603::compute_Ug","NGC3603","compute_Ug","source21.cpp"
"NGC3603::compute_V","NGC3603","compute_V","source21.cpp"
"NGC3603::compute_g_NGC3603","NGC3603","compute_g_NGC3603","source21.cpp"
"BubbleNebula::compute_Ug","BubbleNebula","compute_Ug","source22.cpp"
"BubbleNebula::compute_V","BubbleNebula","compute_V","source22.cpp"
"BubbleNebula::compute_g_Bubble","BubbleNebula","compute_g_Bubble","source22.cpp"
"AntennaeGalaxies::compute_Ug","AntennaeGalaxies","compute_Ug","source23.cpp"
"AntennaeGalaxies::compute_V","AntennaeGalaxies","compute_V","source23.cpp"
"AntennaeGalaxies::compute_g_Antennae","AntennaeGalaxies","compute_g_Antennae","source23.cpp"
"HorseheadNebula::compute_Ug","HorseheadNebula","compute_Ug","source24.cpp"
"HorseheadNebula::compute_V","HorseheadNebula","compute_V","source24.cpp"
"HorseheadNebula::compute_g_Horsehead","HorseheadNebula","compute_g_Horsehead","source24.cpp"
"NGC1275::compute_Ug","NGC1275","compute_Ug","source25.cpp"
"NGC1275::compute_V","NGC1275","compute_V","source25.cpp"
"NGC1275::compute_g_NGC1275","NGC1275","compute_g_NGC1275","source25.cpp"
"HUDFGalaxies::compute_Ug","HUDFGalaxies","compute_Ug","source26.cpp"
"HUDFGalaxies::compute_V","HUDFGalaxies","compute_V","source26.cpp"
"HUDFGalaxies::compute_g_HUDF","HUDFGalaxies","compute_g_HUDF","source26.cpp"
"GalaxyNGC1792::compute_Ug","GalaxyNGC1792","compute_Ug","source27.cpp"
"GalaxyNGC1792::compute_V","GalaxyNGC1792","compute_V","source27.cpp"
"GalaxyNGC1792::compute_g_NGC1792","GalaxyNGC1792","compute_g_NGC1792","source27.cpp"
"AndromedaUQFFModule::computeQuantumTerm","AndromedaUQFFModule","computeQuantumTerm","source28.cpp"
"AndromedaUQFFModule::computeFluidTerm","AndromedaUQFFModule","computeFluidTerm","source28.cpp"
"AndromedaUQFFModule::computeResonantTerm","AndromedaUQFFModule","computeResonantTerm","source28.cpp"
"AndromedaUQFFModule::computeDMTerm","AndromedaUQFFModule","computeDMTerm","source28.cpp"
"AndromedaUQFFModule::computeUgSum","AndromedaUQFFModule","computeUgSum","source28.cpp"
"AndromedaUQFFModule::computeHz","AndromedaUQFFModule","computeHz","source28.cpp"
"AndromedaUQFFModule::computeG","AndromedaUQFFModule","computeG","source28.cpp"
"SombreroUQFFModule::computeQuantumTerm","SombreroUQFFModule","computeQuantumTerm","source29.cpp"
"SombreroUQFFModule::computeFluidTerm","SombreroUQFFModule","computeFluidTerm","source29.cpp"
"SombreroUQFFModule::computeResonantTerm","SombreroUQFFModule","computeResonantTerm","source29.cpp"
"SombreroUQFFModule::computeDMTerm","SombreroUQFFModule","computeDMTerm","source29.cpp"
"SombreroUQFFModule::computeUgSum","SombreroUQFFModule","computeUgSum","source29.cpp"
"SombreroUQFFModule::computeHz","SombreroUQFFModule","computeHz","source29.cpp"
"SombreroUQFFModule::computeDustTerm","SombreroUQFFModule","computeDustTerm","source29.cpp"
"SombreroUQFFModule::computeG","SombreroUQFFModule","computeG","source29.cpp"
"SaturnUQFFModule::computeQuantumTerm","SaturnUQFFModule","computeQuantumTerm","source30.cpp"
"SaturnUQFFModule::computeFluidTerm","SaturnUQFFModule","computeFluidTerm","source30.cpp"
"SaturnUQFFModule::computeResonantTerm","SaturnUQFFModule","computeResonantTerm","source30.cpp"
"SaturnUQFFModule::computeDMTerm","SaturnUQFFModule","computeDMTerm","source30.cpp"
"SaturnUQFFModule::computeUgSum","SaturnUQFFModule","computeUgSum","source30.cpp"
"SaturnUQFFModule::computeHz","SaturnUQFFModule","computeHz","source30.cpp"
"SaturnUQFFModule::computeWindTerm","SaturnUQFFModule","computeWindTerm","source30.cpp"
"SaturnUQFFModule::computeG","SaturnUQFFModule","computeG","source30.cpp"
"M16UQFFModule::computeQuantumTerm","M16UQFFModule","computeQuantumTerm","source31.cpp"
"M16UQFFModule::computeFluidTerm","M16UQFFModule","computeFluidTerm","source31.cpp"
"M16UQFFModule::computeResonantTerm","M16UQFFModule","computeResonantTerm","source31.cpp"
"M16UQFFModule::computeDMTerm","M16UQFFModule","computeDMTerm","source31.cpp"
"M16UQFFModule::computeUgSum","M16UQFFModule","computeUgSum","source31.cpp"
"M16UQFFModule::computeHz","M16UQFFModule","computeHz","source31.cpp"
"M16UQFFModule::computeMsfFactor","M16UQFFModule","computeMsfFactor","source31.cpp"
"M16UQFFModule::computeE_rad","M16UQFFModule","computeE_rad","source31.cpp"
"M16UQFFModule::computeG","M16UQFFModule","computeG","source31.cpp"
"CrabUQFFModule::computeQuantumTerm","CrabUQFFModule","computeQuantumTerm","source32.cpp"
"CrabUQFFModule::computeFluidTerm","CrabUQFFModule","computeFluidTerm","source32.cpp"
"CrabUQFFModule::computeResonantTerm","CrabUQFFModule","computeResonantTerm","source32.cpp"
"CrabUQFFModule::computeDMTerm","CrabUQFFModule","computeDMTerm","source32.cpp"
"CrabUQFFModule::computeUgSum","CrabUQFFModule","computeUgSum","source32.cpp"
"CrabUQFFModule::computeHz","CrabUQFFModule","computeHz","source32.cpp"
"CrabUQFFModule::computeWindTerm","CrabUQFFModule","computeWindTerm","source32.cpp"
"CrabUQFFModule::computeMagTerm","CrabUQFFModule","computeMagTerm","source32.cpp"
"CrabUQFFModule::computeG","CrabUQFFModule","computeG","source32.cpp"
"SGR1745UQFFModule::computeQuantumTerm","SGR1745UQFFModule","computeQuantumTerm","source33.cpp"
"SGR1745UQFFModule::computeFluidTerm","SGR1745UQFFModule","computeFluidTerm","source33.cpp"
"SGR1745UQFFModule::computeResonantTerm","SGR1745UQFFModule","computeResonantTerm","source33.cpp"
"SGR1745UQFFModule::computeDMTerm","SGR1745UQFFModule","computeDMTerm","source33.cpp"
"SGR1745UQFFModule::computeUgSum","SGR1745UQFFModule","computeUgSum","source33.cpp"
"SGR1745UQFFModule::computeHz","SGR1745UQFFModule","computeHz","source33.cpp"
"SGR1745UQFFModule::computeG","SGR1745UQFFModule","computeG","source33.cpp"
"SGR1745UQFFModule::computeDPMTerm","SGR1745UQFFModule","computeDPMTerm","source34.cpp"
"SGR1745UQFFModule::computeTHzTerm","SGR1745UQFFModule","computeTHzTerm","source34.cpp"
"SGR1745UQFFModule::computeVacDiffTerm","SGR1745UQFFModule","computeVacDiffTerm","source34.cpp"
"SGR1745UQFFModule::computeSuperFreqTerm","SGR1745UQFFModule","computeSuperFreqTerm","source34.cpp"
"SGR1745UQFFModule::computeAetherResTerm","SGR1745UQFFModule","computeAetherResTerm","source34.cpp"
"SGR1745UQFFModule::computeU_g4iTerm","SGR1745UQFFModule","computeU_g4iTerm","source34.cpp"
"SGR1745UQFFModule::computeQuantumFreqTerm","SGR1745UQFFModule","computeQuantumFreqTerm","source34.cpp"
"SGR1745UQFFModule::computeAetherFreqTerm","SGR1745UQFFModule","computeAetherFreqTerm","source34.cpp"
"SGR1745UQFFModule::computeFluidFreqTerm","SGR1745UQFFModule","computeFluidFreqTerm","source34.cpp"
"SGR1745UQFFModule::computeOscTerm","SGR1745UQFFModule","computeOscTerm","source34.cpp"
"SGR1745UQFFModule::computeExpFreqTerm","SGR1745UQFFModule","computeExpFreqTerm","source34.cpp"
