quantity,kind,detail
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_Shapiro_delay_coeff,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_light_bending_solar_limb,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GR_photon_sphere_r_M,odmap_gap,PAPER_1149
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
GW_memory_fraction,odmap_gap,PAPER_1766
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
ITER_R_over_a,odmap_gap,PAPER_1706
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
