SourceFile,ClassName,LineNumber,BaseClass,PhysicsType,MethodSignature
source17_wolfram.cpp,Westerlund2WindFeedbackTerm,304,PhysicsTerm,stellar,double compute(double t)
source17_wolfram.cpp,Westerlund2SupernovaMassLossTerm,330,PhysicsTerm,stellar,double compute(double t)
source17_wolfram.cpp,Westerlund2PhotoionizationTerm,358,PhysicsTerm,radiation,double compute(double t)
source17_wolfram.cpp,Westerlund2RadiationPressureTerm,387,PhysicsTerm,radiation,double compute(double t)
source17_wolfram.cpp,Westerlund2HII_RegionExpansionTerm,416,PhysicsTerm,fluid,double compute(double t)
source17_wolfram.cpp,Westerlund2DustScatteringTerm,445,PhysicsTerm,radiation,double compute(double t)
source17_wolfram.cpp,Westerlund2BinaryStarOrbitTerm,474,PhysicsTerm,gravity,double compute(double t)
source18_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source18_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source18_wolfram.cpp,PillarsBaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source18_wolfram.cpp,PillarsUQFFUnificationTerm,115,PhysicsTerm,unified,double compute(double t)
source18_wolfram.cpp,PillarsCosmologicalConstantTerm,150,PhysicsTerm,vacuum,double compute(double t)
source18_wolfram.cpp,PillarsElectromagneticTerm,166,PhysicsTerm,electromagnetic,double compute(double t)
source18_wolfram.cpp,PillarsQuantumUncertaintyTerm,193,PhysicsTerm,quantum,double compute(double t)
source18_wolfram.cpp,PillarsFluidDensityTerm,218,PhysicsTerm,fluid,double compute(double t)
source18_wolfram.cpp,PillarsOscillatoryWaveTerm,246,PhysicsTerm,wave,double compute(double t)
source18_wolfram.cpp,PillarsDarkMatterPerturbationTerm,271,PhysicsTerm,darkmatter,double compute(double t)
source18_wolfram.cpp,PillarsWindFeedbackTerm,304,PhysicsTerm,stellar,double compute(double t)
source18_wolfram.cpp,PillarsSupernovaMassLossTerm,330,PhysicsTerm,stellar,double compute(double t)
source18_wolfram.cpp,PillarsPhotoionizationTerm,358,PhysicsTerm,radiation,double compute(double t)
source18_wolfram.cpp,PillarsRadiationPressureTerm,387,PhysicsTerm,radiation,double compute(double t)
source18_wolfram.cpp,PillarsHII_RegionExpansionTerm,416,PhysicsTerm,fluid,double compute(double t)
source18_wolfram.cpp,PillarsDustScatteringTerm,445,PhysicsTerm,radiation,double compute(double t)
source18_wolfram.cpp,PillarsEvaporativeFlowTerm,474,PhysicsTerm,fluid,double compute(double t)
source18_wolfram.cpp,PillarsMagneticTensionTerm,503,PhysicsTerm,magnetic,double compute(double t)
source18_wolfram.cpp,PillarsMolecularCloudCollapseTerm,532,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source19_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source19_wolfram.cpp,EinsteinRingBaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingGravitationalLensingTerm,110,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingUQFFUnificationTerm,141,PhysicsTerm,unified,double compute(double t)
source19_wolfram.cpp,EinsteinRingCosmologicalConstantTerm,173,PhysicsTerm,vacuum,double compute(double t)
source19_wolfram.cpp,EinsteinRingElectromagneticTerm,189,PhysicsTerm,electromagnetic,double compute(double t)
source19_wolfram.cpp,EinsteinRingQuantumUncertaintyTerm,216,PhysicsTerm,quantum,double compute(double t)
source19_wolfram.cpp,EinsteinRingFluidDensityTerm,241,PhysicsTerm,fluid,double compute(double t)
