paper,cited_by_files
PAPER_1619,6
PAPER_162,1
PAPER_1620,5
PAPER_1621,1
PAPER_1622,1
PAPER_1623,1
PAPER_1624,1
PAPER_1625,1
PAPER_1626,1
PAPER_1627,1
PAPER_1628,1
PAPER_1629,1
PAPER_163,4
PAPER_1630,1
PAPER_1631,1
PAPER_1632,1
PAPER_1633,1
PAPER_1634,1
PAPER_1635,1
PAPER_1636,31
PAPER_1637,2
PAPER_1638,1
PAPER_1639,1
PAPER_164,3
PAPER_1640,1
PAPER_1641,1
PAPER_1642,1
PAPER_1643,1
PAPER_1644,1
PAPER_1645,1
PAPER_1646,21
PAPER_1647,1
PAPER_1648,2
PAPER_1649,1
PAPER_165,2
PAPER_1650,3
PAPER_1651,2
PAPER_1652,5
PAPER_1653,3
PAPER_1654,1
PAPER_1655,3
PAPER_1656,21
PAPER_1657,3
PAPER_1658,1
PAPER_1659,3
PAPER_166,1
PAPER_1660,1
PAPER_1661,1
PAPER_1662,1
PAPER_1663,2
PAPER_1664,1
PAPER_1665,2
PAPER_1666,21
PAPER_1667,1
PAPER_1668,1
PAPER_1669,1
PAPER_167,2
PAPER_1670,1
PAPER_1671,1
PAPER_1672,1
PAPER_1673,1
PAPER_1674,1
PAPER_1675,3
PAPER_1676,25
PAPER_1677,15
PAPER_1678,1
PAPER_1679,3
PAPER_168,1
PAPER_1680,1
PAPER_1681,1
PAPER_1682,1
PAPER_1683,1
PAPER_1684,1
PAPER_1685,1
PAPER_1686,21
PAPER_1687,1
PAPER_1688,1
PAPER_1689,1
PAPER_169,2
PAPER_1690,1
PAPER_1691,1
PAPER_1692,1
PAPER_1693,1
PAPER_1694,1
PAPER_1695,1
PAPER_1696,21
PAPER_1697,3
PAPER_1698,1
PAPER_1699,1
PAPER_170,5
PAPER_1700,1
PAPER_1701,5
PAPER_1702,1
PAPER_1703,1
PAPER_1704,1
PAPER_1705,1
PAPER_1706,21
PAPER_1707,1
PAPER_1708,1
PAPER_1709,1
PAPER_171,8
PAPER_1710,1
PAPER_1711,1
PAPER_1712,1
PAPER_1713,1
PAPER_1714,1
PAPER_1715,1
PAPER_1716,21
PAPER_1717,1
PAPER_1718,1
PAPER_1719,3
PAPER_172,8
PAPER_1720,2
PAPER_1721,1
PAPER_1722,1
PAPER_1723,1
PAPER_1724,1
PAPER_1725,1
PAPER_1726,22
PAPER_1727,1
PAPER_1728,1
PAPER_1729,1
PAPER_173,9
PAPER_1730,1
PAPER_1731,2
PAPER_1732,1
PAPER_1733,1
PAPER_1734,1
PAPER_1735,1
PAPER_1736,11
PAPER_1737,1
PAPER_1738,3
PAPER_1739,2
PAPER_174,11
PAPER_1740,3
PAPER_1741,1
PAPER_1742,1
PAPER_1743,1
PAPER_1744,1
PAPER_1745,2
PAPER_1746,22
PAPER_1747,1
PAPER_1748,1
PAPER_1749,1
PAPER_175,3
PAPER_1750,1
PAPER_1751,1
PAPER_1752,1
PAPER_1753,1
PAPER_1754,2
PAPER_1755,1
PAPER_1756,11
PAPER_1757,1
PAPER_1758,1
PAPER_1759,1
PAPER_176,7
PAPER_1760,1
PAPER_1761,3
PAPER_1762,2
PAPER_1763,1
PAPER_1764,1
PAPER_1765,1
PAPER_1766,11
PAPER_1767,1
PAPER_1768,1
PAPER_1769,1
PAPER_177,7
PAPER_1770,1
PAPER_1771,1
PAPER_1772,1
PAPER_1773,1
PAPER_1774,1
PAPER_1775,2
PAPER_1776,11
PAPER_1777,1
PAPER_1778,1
PAPER_1779,1
PAPER_178,2
PAPER_1780,1
PAPER_1781,1
PAPER_1782,1
PAPER_1783,2
PAPER_1784,1
PAPER_1785,1
PAPER_1786,1
PAPER_1787,1
PAPER_1788,1
PAPER_1789,1
PAPER_179,2
PAPER_1790,1
PAPER_1791,1
PAPER_1792,1
PAPER_1793,1
PAPER_1794,1
PAPER_1795,3
PAPER_1796,4
PAPER_1797,2
PAPER_1798,2
PAPER_1799,2
PAPER_180,2
PAPER_1800,4
PAPER_1801,6
PAPER_1802,65
PAPER_1803,12
PAPER_1804,7
PAPER_1805,4
PAPER_1806,3
PAPER_1807,3
PAPER_1808,4
PAPER_1809,4
PAPER_181,1
PAPER_1810,64
PAPER_1811,5
PAPER_1812,4
PAPER_1813,2
PAPER_1814,11
PAPER_1815,32
PAPER_1816,13
PAPER_1817,22
PAPER_1818,12
PAPER_1819,10
PAPER_182,5
PAPER_1820,22
PAPER_1821,21
PAPER_1822,8
PAPER_1823,26
PAPER_1824,28
PAPER_1825,16
PAPER_1826,20
PAPER_1827,11
PAPER_1828,9
PAPER_1829,10
PAPER_183,6
PAPER_1830,15
PAPER_1831,9
PAPER_1832,12
PAPER_1833,9
PAPER_1834,17
PAPER_1835,19
PAPER_1836,11
PAPER_1837,8
PAPER_1838,6
PAPER_1839,10
PAPER_184,1
PAPER_1840,6
PAPER_1841,19
PAPER_1842,7
PAPER_1843,6
PAPER_1844,5
PAPER_1845,14
PAPER_1846,7
PAPER_1847,9
PAPER_1848,7
PAPER_1849,13
PAPER_185,1
PAPER_1850,9
PAPER_1851,4
PAPER_1852,11
PAPER_1853,8
PAPER_1854,17
PAPER_1855,20
PAPER_1856,15
PAPER_1857,15
PAPER_1858,9
PAPER_1859,15
PAPER_186,4
PAPER_1860,9
PAPER_1861,9
PAPER_1862,13
PAPER_1863,9
PAPER_1864,3
PAPER_1865,8
PAPER_1866,6
PAPER_1867,10
PAPER_1868,11
PAPER_1869,28
PAPER_187,3
PAPER_1870,2
PAPER_1871,3
PAPER_1872,1
PAPER_1873,12
PAPER_1874,14
PAPER_1875,4
PAPER_1876,7
PAPER_1877,5
PAPER_1878,2
PAPER_1879,7
PAPER_188,1
PAPER_1880,9
PAPER_1881,2
PAPER_1882,2
PAPER_1883,9
PAPER_1884,12
PAPER_1885,13
PAPER_1886,9
PAPER_1887,6
PAPER_1888,1
PAPER_1889,2
PAPER_189,6
PAPER_1890,4
PAPER_1891,3
PAPER_1892,2
PAPER_1893,2
PAPER_1894,4
PAPER_1895,1
PAPER_1896,1
PAPER_1897,1
PAPER_1898,7
PAPER_1899,1
PAPER_190,4
PAPER_1900,2
PAPER_1901,2
PAPER_1902,2
PAPER_1903,2
PAPER_1904,9
PAPER_1905,5
PAPER_1906,9
PAPER_1907,8
PAPER_1908,11
PAPER_1909,6
PAPER_191,5
PAPER_1910,2
PAPER_1911,13
PAPER_1912,21
PAPER_1913,10
PAPER_1914,12
PAPER_1915,9
PAPER_1916,22
PAPER_1917,23
PAPER_1918,23
PAPER_1919,64
PAPER_192,4
PAPER_1920,22
PAPER_1921,6
PAPER_1922,29
PAPER_1923,5
PAPER_1924,5
PAPER_1925,6
PAPER_1926,3
PAPER_1927,30
PAPER_1928,14
PAPER_1929,22
PAPER_193,4
PAPER_1930,11
PAPER_1931,18
PAPER_1932,13
PAPER_1933,4
PAPER_1934,5
PAPER_1935,4
PAPER_1936,9
PAPER_1937,7
PAPER_1938,14
PAPER_1939,4
PAPER_194,2
PAPER_1940,10
PAPER_1941,15
PAPER_1942,21
PAPER_1943,4
PAPER_1944,16
PAPER_1945,13
PAPER_1946,19
PAPER_1947,16
PAPER_1948,27
PAPER_1949,18
PAPER_195,3
PAPER_1950,4
PAPER_1951,6
PAPER_1952,16
PAPER_1953,18
PAPER_1954,13
PAPER_1955,53
PAPER_1956,11
PAPER_1957,8
PAPER_1958,19
PAPER_1959,10
PAPER_196,15
PAPER_1960,37
PAPER_1961,6
PAPER_1962,16
PAPER_1963,5
PAPER_1964,11
PAPER_1965,10
PAPER_1966,12
PAPER_1967,3
PAPER_1968,22
PAPER_1969,6
PAPER_197,3
PAPER_1970,13
PAPER_1971,15
PAPER_1972,34
PAPER_1973,2
PAPER_1974,7
PAPER_1975,8
PAPER_1976,13
PAPER_1977,6
PAPER_1978,27
PAPER_1979,16
PAPER_198,16
PAPER_1980,7
PAPER_1981,14
PAPER_1982,10
PAPER_1983,10
PAPER_1984,9
PAPER_1985,19
PAPER_1986,8
PAPER_1987,4
PAPER_1988,5
PAPER_1989,21
PAPER_199,10
PAPER_1990,17
PAPER_1991,19
PAPER_1992,5
PAPER_1993,9
PAPER_1994,8
PAPER_1995,6
PAPER_1996,2
PAPER_1997,7
PAPER_1998,4
PAPER_1999,2
PAPER_200,4
PAPER_2000,4
PAPER_2001,6
PAPER_2002,13
PAPER_2003,9
PAPER_2004,44
PAPER_2005,15
PAPER_2006,6
PAPER_2007,6
PAPER_2008,4
PAPER_2009,9
PAPER_201,1
PAPER_2010,6
PAPER_2011,10
PAPER_2012,8
PAPER_2013,24
PAPER_2014,13
PAPER_2015,8
PAPER_2016,6
PAPER_2017,12
PAPER_2018,4
PAPER_2019,15
PAPER_202,6
PAPER_2020,3
PAPER_2021,10
PAPER_2022,26
PAPER_2023,13
PAPER_2024,12
PAPER_2025,21
PAPER_2026,8
PAPER_2027,9
PAPER_2028,2
PAPER_2029,9
PAPER_203,3
PAPER_2030,4
PAPER_2031,6
PAPER_2032,6
PAPER_2033,18
PAPER_2034,6
PAPER_2035,12
PAPER_2036,2
PAPER_2037,12
PAPER_2038,4
PAPER_2039,8
PAPER_204,2
PAPER_2040,8
PAPER_2041,4
PAPER_2042,5
